scrape_session_id,scrape_datetime,store_name,basket_item_id,canonical_name,product_url,product_title_raw,price_raw,old_price_raw,unit_price_raw,coupon_text_raw,coupon_value_raw,price_block_raw,price_context_raw,availability_raw,status
20260605_123224,2026-06-05 15:03:43,Sam's Club,373,"strawberries, frozen, organic",https://www.samsclub.com/ip/Members-Mark-Organic-Sliced-Strawberries-Frozen-3-lbs/15677207201,"Members Mark Organic Sliced Strawberries, Frozen, 3 lbs.",$8.46,,$0.18/oz,,,$8.46 $0.18/oz,standard_price,in_stock,success
20260605_123224,2026-06-05 15:08:13,Sam's Club,199,raspberries,https://www.samsclub.com/ip/Raspberries-12-oz/13608506007,Raspberries 12 oz.,$3.97,,$0.33/oz,,,$3.97 $0.33/oz,standard_price,in_stock,success
20260605_123224,2026-06-05 15:11:46,Sam's Club,200,"raspberries, organic",https://www.samsclub.com/ip/Organic-Raspberries-12-oz/15389862546,"Organic Raspberries, 12 oz.",$5.96,,$0.50/oz,,,$5.96 $0.50/oz,standard_price,in_stock,success
20260605_123224,2026-06-05 15:14:32,Sam's Club,202,blackberries,https://www.samsclub.com/ip/Blackberries-18-oz/13627415928,Blackberries 18 oz.,$3.67,,$0.20/oz,,,$3.67 $0.20/oz,standard_price,in_stock,success
20260605_123224,2026-06-05 15:18:25,Sam's Club,203,"blackberries, organic",https://www.samsclub.com/ip/Organic-Blackberries-12-oz/13585824883,"Organic Blackberries, 12 oz.",$7.37,,$0.61/oz,,,$7.37 $0.61/oz,standard_price,in_stock,success
20260605_123224,2026-06-05 15:22:02,Sam's Club,204,cherries,https://www.samsclub.com/ip/Sweet-Red-Cherries-2-lbs/13879311045,"Sweet Red Cherries, 2 lbs.",$9.96,,$4.98/lb,,,$9.96 $4.98/lb,standard_price,in_stock,success
20260605_123224,2026-06-05 15:24:19,Sam's Club,374,"mango, frozen, organic",https://www.samsclub.com/ip/Member-s-Mark-Organic-Mango-Chunks-Frozen-4-lbs/19335956734,"Member's Mark Organic Mango Chunks, Frozen, 4 lbs.",$8.36,,$2.09/lb,,,$8.36 $2.09/lb,standard_price,in_stock,success
20260605_123224,2026-06-05 15:30:12,Sam's Club,208,"avocado, hass",https://www.samsclub.com/ip/Avocados-5-ct/13586650560,"Avocados, 5 ct.",$6.22,,$1.24/ea,,,$6.22 $1.24/ea,standard_price,in_stock,success
20260605_123224,2026-06-05 15:33:29,Sam's Club,209,"mushrooms, white",https://www.samsclub.com/ip/Whole-White-Mushrooms-24-oz/13894703507,Whole White Mushrooms 24 oz.,$3.72,,$0.15/oz,,,$3.72 $0.15/oz,standard_price,in_stock,success
20260605_153537,2026-06-05 15:42:40,Sam's Club,157,"protein powder, chocolate, optimum nutrition",https://www.samsclub.com/ip/Optimum-Nutrition-Gold-Standard-100-Whey-Protein-Powder-Extreme-Milk-Chocolate-5-64-lbs/16110050561,"Optimum Nutrition, Gold Standard 100% Whey Protein Powder, Extreme Milk Chocolate, 5.64 lbs.",$34.98,,$0.85/oz,,,$34.98 $0.85/oz,standard_price,in_stock,success
20260605_153537,2026-06-05 15:47:35,Sam's Club,172,sweet potatoes,https://www.samsclub.com/ip/Sweet-Potatoes-5-lbs/16864967254,"Sweet Potatoes, 5 lbs.",$4.87,,$0.97/lb,,,$4.87 $0.97/lb,standard_price,in_stock,success
20260605_155248,2026-06-05 15:57:47,Sam's Club,179,baby carrots,https://www.samsclub.com/ip/Organic-Sweet-Petite-Baby-Carrots-3-lbs/15649913631,"Organic Sweet Petite Baby Carrots, 3 lbs.",$4.62,,$1.54/lb,,,$4.62 $1.54/lb,standard_price,in_stock,success
20260605_155248,2026-06-05 16:03:26,Sam's Club,184,romaine lettuce,https://www.samsclub.com/ip/Romaine-Hearts-6-ct/13554766983,"Romaine Hearts, 6 ct.",$4.52,,$0.75/ea,,,$4.52 $0.75/ea,standard_price,in_stock,success
20260605_155248,2026-06-05 16:08:32,Sam's Club,187,bananas,https://www.samsclub.com/ip/Bananas-3-lbs/18638953319,"Bananas, 3 lbs.",$1.47,,$0.49/lb,,,$1.47 $0.49/lb,standard_price,in_stock,success
20260605_155248,2026-06-05 16:13:14,Sam's Club,190,"apple, honeycrisp",https://www.samsclub.com/ip/Honeycrisp-Apples-4-lbs/13806958169,"Honeycrisp Apples, 4 lbs.",$9.67,,$2.42/lb,,,$9.67 $2.42/lb,standard_price,in_stock,success
20260605_155248,2026-06-05 16:17:04,Sam's Club,193,"blueberries, organic",https://www.samsclub.com/ip/Organic-Blueberries-18-oz/15007874527,"Organic Blueberries, 18 oz.",$9.17,,$0.51/oz,,,$9.17 $0.51/oz,standard_price,in_stock,success
20260605_155248,2026-06-05 16:21:07,Sam's Club,212,"watermelon, seedless",https://www.samsclub.com/ip/Whole-Seedless-Watermelon/13589400933,Whole Seedless Watermelon,$5.97,,$5.97/ea,,,$5.97 $5.97/ea,standard_price,in_stock,success
20260605_155248,2026-06-05 16:30:04,Sam's Club,215,"pineapple, precut",https://www.samsclub.com/ip/Del-Monte-Fresh-Cut-Pineapple-Spears-2-5-lbs/15209750041,Del Monte Fresh Cut Pineapple Spears 2.5 lbs.,$7.97,,$3.19/lb,,,$7.97 $3.19/lb,standard_price,in_stock,success
20260605_155248,2026-06-05 16:39:06,Sam's Club,218,"green beans, cut, canned",https://www.samsclub.com/ip/Del-Monte-Cut-Green-Beans-14-5-oz-8-pk/13621807018,"Del Monte Cut Green Beans, 14.5 oz., 8 pk.",$8.42,,$0.07/oz,,,$8.42 $0.07/oz,standard_price,in_stock,success
